Drug1,Drug2,Cell line,CSS1,CSS2,CSS,S_HSA,S_Bliss,S_Loewe,S_ZIP,S_sum,S_max,S_mean,classs,c_sy,c_ana,c_ad
GELDANAMYCIN,SORAFENIB,NCIH23,38.0103,37.3002,37.65525,4.672562668,2.04584514,0.513023111,1.422705519,12.50795,18.58755,25.0816,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,NCIH2122,41.821,44.964,43.3925,7.341776197,5.075779227,2.765969894,5.287091116,20.6756,25.0458,32.03405,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,MDAMB436,25.5411,23.5104,24.52575,2.291662507,-0.741508242,-0.450122561,0.420753737,15.96605,19.24485,20.2459,additive,,,ad
GELDANAMYCIN,SORAFENIB,LNCAP,33.5884,30.6715,32.12995,10.4735093,5.343872498,8.000465001,5.63361872,13.18435,20.49095,22.65715,additive,,,ad
GELDANAMYCIN,SORAFENIB,KPL1,32.1632,29.345,30.7541,2.176318483,-1.485888455,-0.345566174,-3.932849341,11.4532,19.2183,21.10365,additive,,,ad
GELDANAMYCIN,SORAFENIB,HT29,42.5956,42.7864,42.691,3.205993546,0.671199983,0.221098429,0.418206416,11.6399,19.2078,27.16545,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,HCT116,32.8425,38.5117,35.6771,4.410079053,2.395221433,0.115349653,2.830147722,23.8402,28.7865,29.75865,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,EFM192B,23.4591,25.227,24.34305,5.057426238,2.166876208,1.870609608,1.484481201,11.02115,13.92555,17.6821,additive,,,ad
GELDANAMYCIN,SORAFENIB,DLD1,36.405,39.8012,38.1031,12.99243703,9.606863509,9.799223158,20.17584516,26.9929,31.2248,32.548,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,CAOV3,40.0253,35.0215,37.5234,12.19174632,8.694623947,8.10489885,10.37459816,27.2678,30.1828,32.3956,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,A427,41.2598,35.4064,38.3331,17.63065552,13.18947906,15.27092398,12.83139396,19.9954,28.5848,29.16425,Synerg,sy,,
GELDANAMYCIN,SORAFENIB,A2780,39.7677,38.8395,39.3036,5.346417148,3.584683619,1.261672476,2.848562307,14.6298,23.2783,26.9667,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,A2058,36.7788,42.4511,39.61495,11.78444708,9.351840723,7.033351517,8.286094133,21.43705,24.30755,30.526,additive,,,not_ad
GELDANAMYCIN,SN-38,ZR751,26.6756,22.2197,24.44765,-0.470396547,-3.009416736,-1.057321422,-0.439837774,3.29375,7.74065,13.8707,additive,,,ad
GELDANAMYCIN,SN-38,VCAP,0,2.3599,1.17995,2.586486747,2.107428355,2.185743236,1.125015125,0.68845,0.68845,0.9342,additive,,,ad
GELDANAMYCIN,SN-38,UWB1289BRCA1,15.1054,9.3205,12.21295,5.535142712,3.629094319,4.422176169,6.826570582,5.68945,8.28055,8.9512,additive,,,ad
GELDANAMYCIN,SN-38,UWB1289,27.8543,22.203,25.02865,6.803693609,6.586370372,4.416125478,6.746189354,12.31065,14.50655,18.66965,additive,,,ad
GELDANAMYCIN,SN-38,UACC62,32.43,24.2175,28.32375,7.769246902,5.443584096,5.939111236,4.932959476,16.26735,19.72245,22.29555,additive,,,ad
GELDANAMYCIN,SN-38,T47D,3.0058,1.9232,2.4645,6.361637149,5.482494269,-1.870283185,11.4328166,0.6514,0.737,1.55795,additive,,,ad
GELDANAMYCIN,SN-38,SW837,22.8763,24.4584,23.66735,6.460854307,5.278114269,4.999657697,1.86156061,10.96905,13.73955,17.3182,additive,,,ad
GELDANAMYCIN,SN-38,SW620,31.7085,37.4677,34.5881,9.395699905,7.82545928,7.242763516,12.84492209,13.4103,19.1087,23.9992,additive,,,ad
GELDANAMYCIN,SN-38,SKMES1,23.708,30.4449,27.07645,8.440517583,8.481304026,7.978428781,7.163929477,13.35565,13.35565,20.21605,additive,,,ad
GELDANAMYCIN,SN-38,SKMEL30,30.3656,22.3201,26.34285,12.96821225,10.99129224,11.19585871,21.73420744,20.33245,22.25575,23.33765,Synerg,sy,,
GELDANAMYCIN,SN-38,RPMI7951,37.1079,41.1325,39.1202,17.7437159,16.78736248,16.5197304,21.10349594,23.5372,26.0583,31.3287,Synerg,sy,,
GELDANAMYCIN,SN-38,RKO,31.2128,21.738,26.4754,11.28719109,9.216685834,9.850167196,13.16546789,16.6542,18.8046,21.5648,additive,,,ad
GELDANAMYCIN,SN-38,OV90,31.8375,37.1251,34.4813,4.079035311,3.154998884,2.903420992,0.608779521,13.9701,17.1391,24.2257,additive,,,ad
GELDANAMYCIN,SN-38,OCUBM,19.0243,27.3708,23.19755,8.546244456,6.816466722,4.568604561,7.692479231,14.89755,17.07785,19.04755,additive,,,ad
GELDANAMYCIN,SN-38,NCIH520,20.0326,24.5326,22.2826,5.523817093,3.988308324,3.781904239,2.316817924,8.7297,11.5767,15.50615,additive,,,ad
GELDANAMYCIN,SN-38,NCIH23,32.0872,35.2965,33.69185,1.799400011,1.051628114,0.606604532,2.551699992,10.26275,14.62415,21.9773,additive,,,ad
GELDANAMYCIN,SN-38,NCIH2122,34.3703,40.8929,37.6316,6.852366836,4.80800435,5.064725225,4.495806274,8.4014,19.2849,23.0165,additive,,,not_ad
GELDANAMYCIN,SN-38,NCIH1650,20.9993,27.8073,24.4033,4.660377608,5.105665336,3.833387218,4.341856439,8.0342,9.9949,16.21875,additive,,,ad
GELDANAMYCIN,SN-38,MSTO,30.8281,24.4316,27.62985,7.91578381,5.76697065,5.303418165,5.739622368,16.97915,21.14955,22.3045,additive,,,ad
GELDANAMYCIN,SN-38,MDAMB436,29.2228,24.7202,26.9715,11.0262838,7.409949636,9.840904957,15.89314608,17.9694,21.6906,22.47045,additive,,,ad
GELDANAMYCIN,SN-38,LOVO,8.2659,5.9508,7.10835,2.389277213,1.267692525,0.97122887,-0.015977607,0.47585,2.90135,3.7921,additive,,,ad
GELDANAMYCIN,SN-38,LNCAP,22.5178,28.7245,25.62115,7.374999644,4.539849435,6.000020956,10.40907234,10.73235,13.98215,18.17675,additive,,,ad
GELDANAMYCIN,SN-38,KPL1,19.0791,21.6315,20.3553,0.86106234,0.422251941,0.259869671,2.345883648,7.8281,8.8195,14.0917,additive,,,ad
GELDANAMYCIN,SN-38,HT29,42.3487,42.0947,42.2217,1.83824359,2.353756133,0.355823991,3.74791134,12.6544,18.7385,27.43805,additive,,,not_ad
GELDANAMYCIN,SN-38,HT144,21.2784,27.2255,24.25195,4.983057454,2.503115589,4.313819948,6.23718742,8.90565,11.44045,16.5788,additive,,,ad
GELDANAMYCIN,SN-38,HCT116,24.6897,15.4584,20.07405,5.435050717,4.138591049,2.799480975,1.53777232,6.43365,13.18345,13.25385,additive,,,ad
GELDANAMYCIN,SN-38,ES2,6.4481,6.1083,6.2782,4.921559731,2.851030043,-8.716947538,13.48525727,-1.1235,-0.011,2.57735,additive,,,ad
GELDANAMYCIN,SN-38,EFM192B,21.1474,23.8997,22.52355,4.180896925,2.706188743,1.373650021,-0.499149635,4.37525,12.10605,13.4494,additive,,,ad
GELDANAMYCIN,SN-38,DLD1,28.5678,19.1117,23.83975,8.709327106,8.011595818,8.412468545,26.05062384,16.82505,16.96145,20.3324,additive,,,ad
GELDANAMYCIN,SN-38,COLO320DM,2.5476,0,1.2738,1.75298227,1.047241524,-16.8667325,2.645999431,-2.0859,-2.0859,-0.40605,additive,,,ad
GELDANAMYCIN,SN-38,CAOV3,40.1002,32.5205,36.31035,12.02435712,10.29829715,9.528444909,11.21761885,18.33225,25.67285,27.3213,additive,,,not_ad
GELDANAMYCIN,SN-38,A2780,36.3706,42.0426,39.2066,7.528354979,5.724145731,4.917339023,5.599884357,17.1053,23.1813,28.15595,additive,,,not_ad
GELDANAMYCIN,SN-38,A2058,35.8061,41.161,38.48355,9.027699017,7.592752227,6.303782102,7.720318544,12.85115,23.17615,25.66735,additive,,,not_ad
GELDANAMYCIN,OXALIPLATIN,ZR751,28.8551,32.6473,30.7512,4.563703968,1.999400764,1.370699046,0.00434953,10.7194,14.0442,20.7353,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,VCAP,4.4602,7.3578,5.909,4.057668836,2.725340241,3.04229533,1.468129163,3.8543,4.3458,4.88165,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,UWB1289BRCA1,16.9229,21.2424,19.08265,6.253542847,5.413279629,3.651780901,6.681344321,11.34475,15.15025,15.2137,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,UWB1289,21.0178,13.7286,17.3732,6.17592174,3.096808018,5.131192494,6.426830851,9.4022,11.5981,13.3877,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,T47D,5.5936,6.1298,5.8617,1.115219061,0.098696507,0.505838746,6.564795329,3.9183,4.0039,4.89,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,SW837,26.1398,26.8275,26.48365,6.410130564,3.430702875,4.408909096,13.77085308,10.70205,16.55585,18.59285,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,SW620,30.0529,38.8571,34.455,4.719021365,2.70581082,1.023453157,3.779412959,12.4719,18.9756,23.46345,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,SKOV3,34.397,26.5372,30.4671,8.495410914,6.997147844,4.566987791,10.60339724,20.8915,22.3388,25.6793,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,SKMES1,20.5763,28.7657,24.671,4.0244687,2.392068001,0.263773939,0.016829469,8.7088,10.9502,16.6899,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,RPMI7951,37.7567,40.5757,39.1662,15.64046836,13.75681311,8.327141487,13.76917173,22.932,26.1043,31.0491,additive,,,not_ad
GELDANAMYCIN,OXALIPLATIN,PA1,30.4969,26.6888,28.59285,-7.04884067,-6.256948394,-8.624155453,-2.506786651,11.20345,11.84325,19.89815,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,OV90,35.6642,35.7634,35.7138,0.73579801,-0.814779761,-5.355406966,4.995553416,15.0141,18.3716,25.36395,additive,,,not_ad
GELDANAMYCIN,OXALIPLATIN,OCUBM,10.2921,14.9674,12.62975,6.827045426,5.139942583,5.074619885,5.865235097,7.76625,9.94655,10.198,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,NCIH520,20.0334,22.2435,21.13845,1.508051269,-1.216191198,-2.237556668,-1.081722194,4.45205,10.43255,12.79525,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,NCIH460,43.1257,39.3548,41.24025,12.43239201,7.675091304,9.87513165,9.663998083,25.25185,32.10405,33.24605,additive,,,not_ad
GELDANAMYCIN,OXALIPLATIN,NCIH23,33.6981,38.7924,36.24525,0.000551844,-1.910085026,-2.556432345,-0.581101129,12.36325,17.17755,24.30425,additive,,,not_ad
GELDANAMYCIN,OXALIPLATIN,NCIH2122,39.2281,38.2346,38.73135,4.753944764,3.456916256,2.588748301,3.042741992,17.86995,20.38465,28.30065,additive,,,not_ad
GELDANAMYCIN,OXALIPLATIN,NCIH1650,20.5525,28.4184,24.48545,1.385067894,-1.133723578,-2.006643583,2.918088579,6.88765,10.07705,15.68655,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,MSTO,36.2023,37.5175,36.8599,17.79684281,14.82911043,13.02417508,23.86936751,27.5787,30.3796,32.2193,Synerg,sy,,
GELDANAMYCIN,OXALIPLATIN,MDAMB436,31.2494,25.3055,28.27745,3.999834608,0.914813387,2.727302359,-4.389104309,12.91905,18.19995,20.59825,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,LOVO,23.9464,16.9253,20.43585,-2.843785098,-3.001803077,-4.93709353,-1.384128815,5.82585,8.25135,13.13085,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,LNCAP,16.9098,17.6655,17.28765,-11.55921996,-14.24260353,-14.06461618,-14.87916681,0.30775,5.64865,8.7977,antag,,not_ana,
GELDANAMYCIN,OXALIPLATIN,KPL1,19.4578,22.7299,21.09385,1.440831046,1.394751055,-0.7323242,1.903581903,8.42865,9.55805,14.76125,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,HT29,40.9107,41.7375,41.3241,2.487201834,0.375123426,-1.198054194,5.554631258,10.7887,17.8409,26.0564,additive,,,not_ad
GELDANAMYCIN,OXALIPLATIN,HT144,17.9171,26.8481,22.3826,2.559055772,0.590572801,-0.852878452,4.898355706,8.2851,9.5711,15.33385,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,HCT116,31.2771,26.7979,29.0375,8.387509042,6.781598381,5.829113883,7.819477058,20.1578,22.1469,24.59765,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,ES2,4.3002,5.1937,4.74695,-1.807050848,-3.094377874,-2.672723228,0.513751471,1.15315,2.26565,2.95005,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,EFM192B,24.322,28.8681,26.59505,2.368846442,-1.481032828,0.292177481,-4.892694426,9.50355,16.17755,18.0493,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,DLD1,31.0348,21.9592,26.497,6.397828263,4.449281139,3.464112264,29.41199093,17.6215,19.6187,22.05925,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,COLO320DM,5.315,2.8489,4.08195,-0.729829469,-0.812319417,-1.64037806,-0.104880887,1.45245,1.45245,2.7672,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,CAOV3,39.6645,30.3618,35.01315,10.8742601,7.825399026,7.267155644,5.538608502,24.15485,27.67255,29.584,additive,,,not_ad
GELDANAMYCIN,OXALIPLATIN,A375,24.6507,14.6522,19.65145,4.155860505,2.587342218,1.830916791,3.895803425,12.14565,13.56265,15.89855,additive,,,ad
GELDANAMYCIN,OXALIPLATIN,A2780,40.7672,44.645,42.7061,12.22942266,10.15632763,8.37897885,10.17492322,20.3933,26.6808,31.5497,additive,,,not_ad
GELDANAMYCIN,OXALIPLATIN,A2058,35.0987,38.9202,37.00945,7.838082572,6.664965169,4.999577828,6.934389773,19.93295,21.70205,28.4712,additive,,,not_ad
GELDANAMYCIN,MK-8776,ZR751,27.6387,29.2946,28.46665,-1.326672413,-3.025992459,-3.606229042,0.580283635,8.68395,11.75965,18.5753,additive,,,ad
GELDANAMYCIN,MK-8776,VCAP,8.0159,5.7762,6.89605,6.415831571,4.734588477,5.531152047,7.896255653,4.00045,4.49195,5.44825,additive,,,ad
GELDANAMYCIN,MK-8776,UWB1289BRCA1,42.279,41.3251,41.80205,3.953838261,2.854951387,1.720277361,3.428767079,21.23735,25.16975,31.5197,additive,,,not_ad
GELDANAMYCIN,MK-8776,UWB1289,37.7508,35.0589,36.40485,2.226074802,1.763237556,-1.808049004,2.338325431,17.06585,19.26175,26.73535,additive,,,not_ad
GELDANAMYCIN,MK-8776,UACC62,31.7169,22.209,26.96295,6.346927216,3.563130994,2.304934183,8.254029425,15.27665,18.36165,21.1198,additive,,,ad
GELDANAMYCIN,MK-8776,T47D,0,0.9562,0.4781,2.005069885,1.866372993,0.940394278,0,0.3925,0.3925,0.4353,additive,,,ad
GELDANAMYCIN,MK-8776,SW837,0,0,0,-37.02401266,-40.02157973,-39.4759514,-14.394734,-17.0333,-9.9278,-8.51665,antag,,ana,
GELDANAMYCIN,MK-8776,SW620,22.4408,30.1949,26.31785,2.729612982,2.783669269,-7.042434388,3.325237039,10.83845,10.83845,18.57815,additive,,,ad
GELDANAMYCIN,MK-8776,SKOV3,33.0901,26.3196,29.70485,3.81666368,1.791103528,1.654390729,4.094856145,16.39355,21.57655,23.0492,additive,,,ad
GELDANAMYCIN,MK-8776,SKMES1,34.6744,40.8492,37.7618,2.647175701,0.279213839,0.094897478,0.96689631,6.7705,20.4913,22.26615,additive,,,not_ad
GELDANAMYCIN,MK-8776,SKMEL30,38.1649,33.0632,35.61405,12.61041531,10.28853007,10.98362656,7.843615827,26.37175,30.45885,30.9929,additive,,,not_ad
GELDANAMYCIN,MK-8776,RPMI7951,36.6496,44.198,40.4238,21.9905164,17.39968293,19.34944311,28.16749307,20.7493,27.3619,30.58655,Synerg,sy,,
GELDANAMYCIN,MK-8776,PA1,6.1925,6.7475,6.47,6.989369458,5.262271572,6.11009772,7.824286075,4.6553,5.2951,5.56265,additive,,,ad
GELDANAMYCIN,MK-8776,OV90,30.5687,37.3411,33.9549,3.18577308,1.513085183,-2.613221771,0.179691223,11.5804,16.6127,22.76765,additive,,,ad
GELDANAMYCIN,MK-8776,OCUBM,20.686,19.146,19.916,9.785770304,8.918052455,8.404332962,8.137181426,12.5179,14.6982,16.21695,additive,,,ad
GELDANAMYCIN,MK-8776,NCIH520,19.8582,22.2008,21.0295,3.907880838,1.763884549,1.567444472,7.117603825,7.0746,10.3236,14.05205,additive,,,ad
GELDANAMYCIN,MK-8776,NCIH23,33.9934,39.2636,36.6285,0.736179362,-1.677131164,-1.810115345,-0.671593579,5.8264,17.5608,21.22745,additive,,,not_ad
GELDANAMYCIN,MK-8776,NCIH2122,40.1302,38.9013,39.51575,7.466398654,5.240081257,5.005049609,4.801781205,13.13065,21.16905,26.3232,additive,,,not_ad
GELDANAMYCIN,MK-8776,NCIH1650,24.8314,32.8303,28.83085,5.185006842,3.125778948,2.291534373,6.131993325,11.21195,14.42245,20.0214,additive,,,ad
GELDANAMYCIN,MK-8776,MSTO,35.6448,40.4607,38.05275,1.816007807,-0.29450147,-0.891468332,4.881856504,22.57885,29.05915,30.3158,additive,,,not_ad
GELDANAMYCIN,MK-8776,MDAMB436,30.053,29.7204,29.8867,10.93555481,6.996049731,9.441479507,7.313593223,19.4271,24.6058,24.6569,additive,,,ad
GELDANAMYCIN,MK-8776,LOVO,33.2904,29.8863,31.58835,4.711205629,4.460675319,2.646149704,3.010094661,14.81575,17.24125,23.20205,additive,,,ad
GELDANAMYCIN,MK-8776,LNCAP,0,4.3623,2.18115,-25.9893983,-30.29155566,-28.23232143,-12.59090383,-14.76345,-9.45785,-6.29115,antag,,ana,
GELDANAMYCIN,MK-8776,KPL1,20.9921,23.1999,22.096,-1.033484773,-5.29306636,-2.205871749,1.67058337,5.2358,10.5602,13.6659,additive,,,ad
GELDANAMYCIN,MK-8776,HT29,35.3923,42.2993,38.8458,2.392397336,1.740646516,-0.358359369,1.835487421,12.3669,15.3626,25.60635,additive,,,not_ad
